Metric,Amazon (Q4 2024 / FY 2024),Apple (Q3 2024 / 9M 2024)

STOCK-BASED COMPENSATION ($M)
Quarterly SBC,4995,2869
Prior Year Quarter SBC,6319,2617
Full Year SBC,22011,8830
Prior Full Year SBC,24023,8208

OPERATIONAL KPIs
Amazon KPIs
Metric,Current Value,YoY Change
WW shipping costs,"$28,549M",4%
Employees (full-time and part-time; excludes contractors & temporary personnel),"1,556,000",2%

ASSUMPTIONS & ADJUSTMENTS
,All monetary values in $M unless noted
,"Free cash flow = Operating Cash Flow - CapEx (computed, not extracted) for companies that do not report it directly"
,Growth percentages calculated from table values: (current - prior) / prior * 100
,Apple does not provide forward guidance
